C,Gamma,testAcc,trainAcc
0.1,0.01,85.515625,87.6
0.1,0.0125,86.61875,88.7375
0.1,0.015000000000000001,87.28125,89.4625
0.1,0.0175,87.78125,89.9
0.1,0.020000000000000004,88.184375,90.3875
0.1,0.022500000000000003,88.4875,90.725
0.1,0.025,88.703125,91.1125
0.1,0.027500000000000004,88.896875,91.5
0.1,0.030000000000000006,88.971875,91.75
0.1,0.03250000000000001,89.028125,91.9
0.1,0.035,88.98125,92.025
0.1,0.037500000000000006,88.978125,92.1375
0.1,0.04000000000000001,88.8875,92.075
0.1,0.04250000000000001,88.7625,92.0875
0.1,0.045000000000000005,88.53125,92.0125
0.1,0.04750000000000001,88.2875,91.8875
0.1,0.05000000000000001,87.909375,91.7875
0.1,0.05250000000000001,87.471875,91.6
0.1,0.055000000000000014,86.909375,91.2375
0.1,0.05750000000000001,86.303125,91.025
0.1,0.06000000000000001,85.375,90.6
0.1,0.06250000000000001,84.546875,89.95
0.1,0.065,83.490625,89.1625
0.1,0.0675,82.059375,88.3375
0.1,0.07,80.41875,87.2875
0.1,0.07250000000000001,78.58125,86.025
0.1,0.07500000000000001,76.65625,84.5875
0.1,0.07750000000000001,74.40625,82.925
0.1,0.08,71.978125,80.8
0.1,0.0825,69.2625,78.625
0.1,0.085,66.653125,76.1375
0.1,0.08750000000000001,63.428125,73.15
0.1,0.09000000000000001,60.040625,69.775
0.1,0.09250000000000001,56.290625,66.4875
0.1,0.09500000000000001,52.440625,63.15
0.1,0.09750000000000002,48.6625,59.1125
0.1,0.10000000000000002,45.109375,54.675
0.1,0.10250000000000001,41.996875,51.0625
0.1,0.10500000000000001,39.175,47.65
0.1,0.10750000000000001,36.74375,44.35
0.1,0.11000000000000001,34.6625,41.65
0.1,0.11250000000000002,32.875,39.4
0.1,0.11500000000000002,31.14375,37.2
0.1,0.11750000000000002,29.95,35.5125
0.15000000000000002,0.01,87.54375,89.525
0.15000000000000002,0.0125,88.26875,90.3625
0.15000000000000002,0.015000000000000001,88.89375,91.225
0.15000000000000002,0.0175,89.428125,91.775
0.15000000000000002,0.020000000000000004,89.79375,92.275
0.15000000000000002,0.022500000000000003,90.059375,92.5875
0.15000000000000002,0.025,90.290625,92.9125
0.15000000000000002,0.027500000000000004,90.440625,93.1
0.15000000000000002,0.030000000000000006,90.525,93.35
0.15000000000000002,0.03250000000000001,90.60625,93.5125
0.15000000000000002,0.035,90.63125,93.675
0.15000000000000002,0.037500000000000006,90.66875,93.775
0.15000000000000002,0.04000000000000001,90.6625,93.9125
0.15000000000000002,0.04250000000000001,90.6625,94.025
0.15000000000000002,0.045000000000000005,90.584375,94.175
0.15000000000000002,0.04750000000000001,90.540625,94.3125
0.15000000000000002,0.05000000000000001,90.44375,94.25
0.15000000000000002,0.05250000000000001,90.309375,94.25
0.15000000000000002,0.055000000000000014,90.153125,94.175
0.15000000000000002,0.05750000000000001,89.890625,94.175
0.15000000000000002,0.06000000000000001,89.534375,94.25
0.15000000000000002,0.06250000000000001,89.240625,94.225
0.15000000000000002,0.065,88.846875,93.9375
0.15000000000000002,0.0675,88.33125,93.9125
0.15000000000000002,0.07,87.7625,93.5625
0.15000000000000002,0.07250000000000001,87.04375,93.075
0.15000000000000002,0.07500000000000001,86.3,92.7125
0.15000000000000002,0.07750000000000001,85.303125,92.225
0.15000000000000002,0.08,84.1625,91.7125
0.15000000000000002,0.0825,82.95,91.175
0.15000000000000002,0.085,81.559375,90.3125
0.15000000000000002,0.08750000000000001,79.978125,89.5125
0.15000000000000002,0.09000000000000001,78.38125,88.3375
0.15000000000000002,0.09250000000000001,76.54375,87.0375
0.15000000000000002,0.09500000000000001,74.4125,85.75
0.15000000000000002,0.09750000000000002,72.03125,84.0625
0.15000000000000002,0.10000000000000002,69.740625,82.35
0.15000000000000002,0.10250000000000001,67.371875,80.2875
0.15000000000000002,0.10500000000000001,64.815625,78.4375
0.15000000000000002,0.10750000000000001,62.496875,76.15
0.15000000000000002,0.11000000000000001,59.303125,73.6875
0.15000000000000002,0.11250000000000002,55.9625,70.3375
0.15000000000000002,0.11500000000000002,52.740625,67.35
0.15000000000000002,0.11750000000000002,49.703125,64.625
0.20000000000000004,0.01,88.578125,90.7
0.20000000000000004,0.0125,89.3375,91.5375
0.20000000000000004,0.015000000000000001,89.91875,92.2875
0.20000000000000004,0.0175,90.38125,92.7875
0.20000000000000004,0.020000000000000004,90.684375,93.2125
0.20000000000000004,0.022500000000000003,90.990625,93.4625
0.20000000000000004,0.025,91.203125,93.7625
0.20000000000000004,0.027500000000000004,91.4125,94.0
0.20000000000000004,0.030000000000000006,91.546875,94.175
